년도,암종,사망자수,발생연도,발생자수,투병중 사망비율
1999,간암,8683,1999,26524,32.73638968481375
1999,갑상선암,330,1999,6814,4.842970355151159
1999,고환암,17,1999,258,6.5891472868217065
1999,"기관지, 폐암",13276,1999,26458,50.17764003326026
1999,기타 암,605,1999,14164,4.271392262072861
1999,난소암,631,1999,2706,23.318551367331857
1999,뇌 및 중추신경계 암,985,1999,2716,36.266568483063324
1999,다발성 골수종,393,1999,936,41.98717948717949
1999,담낭 및 담관암,3284,1999,6094,53.88907121759108
1999,대장 및 직장암,5381,1999,19558,27.513038142959402
1999,방광암,961,1999,4390,21.890660592255127
1999,백혈병,1587,1999,4248,37.35875706214689
1999,비호지킨 림프종,1264,1999,4208,30.038022813688215
1999,식도암,1848,1999,3722,49.65072541644277
1999,신장암,682,1999,2842,23.997185080928922
1999,위암,15174,1999,41804,36.29796191751986
1999,유방암,1976,1999,11760,16.802721088435373
1999,"입술, 구강 및 인두",848,1999,3478,24.381828637147787
1999,자궁경부암,1387,1999,8978,15.448875027845846
1999,자궁암,256,1999,1454,17.606602475928472
1999,전립선암,917,1999,2910,31.512027491408933
1999,췌장암,3240,1999,5224,62.02143950995406
1999,호지킨 림프종,38,1999,246,15.447154471544716
1999,후두암,798,1999,2202,36.23978201634878
2000,간암,10228,2000,26170,39.08291937332824
2000,갑상선암,365,2000,6840,5.33625730994152
2000,고환암,17,2000,268,6.343283582089552
2000,"기관지, 폐암",13540,2000,26820,50.484712900820284
2000,기타 암,624,2000,13966,4.4679936989832445
2000,난소암,663,2000,2606,25.441289332310053
2000,뇌 및 중추신경계 암,970,2000,2704,35.87278106508875
2000,다발성 골수종,419,2000,984,42.581300813008134
2000,담낭 및 담관암,3328,2000,6262,53.14595975726605
2000,대장 및 직장암,5520,2000,20972,26.3208086973107
2000,방광암,973,2000,4522,21.517027863777088
2000,백혈병,1561,2000,4014,38.88888888888889
2000,비호지킨 림프종,1281,2000,4072,31.458742632612967
2000,식도암,1775,2000,3532,50.25481313703284
2000,신장암,726,2000,2920,24.863013698630137
2000,위암,14517,2000,42140,34.44945420028476
2000,유방암,2065,2000,12164,16.97632357777047
2000,"입술, 구강 및 인두",913,2000,4414,20.684186678749434
2000,자궁경부암,1377,2000,8692,15.842153704555914
2000,자궁암,240,2000,1458,16.46090534979424
2000,전립선암,965,2000,2730,35.34798534798535
2000,췌장암,3219,2000,5422,59.36923644411656
2000,호지킨 림프종,39,2000,268,14.55223880597015
2000,후두암,734,2000,2086,35.1869606903164
2001,간암,11100,2001,27644,40.15337867168283
2001,갑상선암,390,2001,9000,4.333333333333334
2001,고환암,17,2001,288,5.902777777777778
2001,"기관지, 폐암",13621,2001,28384,47.98830326944758
2001,기타 암,642,2001,14852,4.322650148128198
2001,난소암,687,2001,2702,25.42561065877128
2001,뇌 및 중추신경계 암,972,2001,2750,35.345454545454544
2001,다발성 골수종,445,2001,1128,39.45035460992908
2001,담낭 및 담관암,3384,2001,6858,49.343832020997375
2001,대장 및 직장암,5692,2001,23546,24.173957360061156
2001,방광암,984,2001,5016,19.617224880382775
2001,백혈병,1542,2001,4418,34.902670891806245
2001,비호지킨 림프종,1273,2001,4482,28.402498884426596
2001,식도암,1708,2001,3834,44.54877412623892
2001,신장암,760,2001,3340,22.75449101796407
2001,위암,13869,2001,45210,30.676841406768414
2001,유방암,2147,2001,14678,14.627333424172232
2001,"입술, 구강 및 인두",933,2001,3730,25.01340482573727
2001,자궁경부암,1331,2001,9294,14.32106735528298
2001,자궁암,231,2001,1678,13.766388557806913
2001,전립선암,1022,2001,3734,27.370112479914297
2001,췌장암,3230,2001,5570,57.989228007181325
2001,호지킨 림프종,40,2001,296,13.513513513513514
2001,후두암,677,2001,2356,28.73514431239389
2002,간암,11647,2002,27978,41.629137179212236
2002,갑상선암,426,2002,11102,3.83714646009728
2002,고환암,16,2002,310,5.161290322580645
2002,"기관지, 폐암",13807,2002,29926,46.13713827441021
2002,기타 암,661,2002,15210,4.3458251150558835
2002,난소암,710,2002,2932,24.21555252387449
2002,뇌 및 중추신경계 암,975,2002,2616,37.27064220183486
2002,다발성 골수종,478,2002,1136,42.07746478873239
2002,담낭 및 담관암,3455,2002,7134,48.430053266049896
2002,대장 및 직장암,5980,2002,26464,22.596735187424425
2002,방광암,1001,2002,5006,19.996004794246904
2002,백혈병,1532,2002,4638,33.03147908581285
2002,비호지킨 림프종,1289,2002,4478,28.785171951764184
2002,식도암,1681,2002,3904,43.05840163934426
2002,신장암,806,2002,3560,22.640449438202246
2002,위암,13560,2002,46596,29.10121040432655
2002,유방암,2249,2002,16592,13.554725168756027
2002,"입술, 구강 및 인두",969,2002,3978,24.358974358974358
2002,자궁경부암,1308,2002,8992,14.546263345195728
2002,자궁암,225,2002,1886,11.930010604453871
2002,전립선암,1091,2002,4276,25.514499532273156
2002,췌장암,3296,2002,6136,53.71577574967405
2002,호지킨 림프종,41,2002,290,14.13793103448276
2002,후두암,624,2002,2264,27.56183745583039
2003,간암,11883,2003,28206,42.12933418421612
2003,갑상선암,464,2003,15116,3.0695951309870337
2003,고환암,16,2003,308,5.194805194805195
2003,"기관지, 폐암",13997,2003,30470,45.93698720052511
2003,기타 암,680,2003,16878,4.028913378362365
2003,난소암,726,2003,2966,24.477410654079566
2003,뇌 및 중추신경계 암,966,2003,2970,32.525252525252526
2003,다발성 골수종,508,2003,1232,41.23376623376623
2003,담낭 및 담관암,3527,2003,7418,47.54650849285522
2003,대장 및 직장암,6290,2003,29474,21.340842776684536
2003,방광암,1010,2003,5538,18.23763091368725
2003,백혈병,1524,2003,4566,33.37713534822602
2003,비호지킨 림프종,1319,2003,4712,27.992359932088284
2003,식도암,1663,2003,3872,42.949380165289256
2003,신장암,858,2003,3820,22.460732984293195
2003,위암,13392,2003,47918,27.947744062773904
2003,유방암,2355,2003,17098,13.773540765001755
2003,"입술, 구강 및 인두",1001,2003,4176,23.970306513409962
2003,자궁경부암,1289,2003,8771,14.696157792726028
2003,자궁암,221,2003,2192,10.082116788321168
2003,전립선암,1161,2003,5342,21.733433171096966
2003,췌장암,3375,2003,6450,52.32558139534884
2003,호지킨 림프종,42,2003,316,13.291139240506327
2003,후두암,572,2003,2234,25.604297224709043
2004,간암,11890,2004,28994,41.008484514037384
2004,갑상선암,501,2004,20894,2.3978175552790275
2004,고환암,15,2004,310,4.838709677419355
2004,"기관지, 폐암",14292,2004,32748,43.642359838768776
2004,기타 암,703,2004,17670,3.978494623655914
2004,난소암,754,2004,3120,24.166666666666668
2004,뇌 및 중추신경계 암,967,2004,3076,31.4369310793238
2004,다발성 골수종,539,2004,1356,39.74926253687316
2004,담낭 및 담관암,3610,2004,7974,45.27213443691999
2004,대장 및 직장암,6630,2004,32666,20.296332578215882
2004,방광암,1022,2004,5832,17.52400548696845
2004,백혈병,1515,2004,4744,31.935075885328835
2004,비호지킨 림프종,1353,2004,5138,26.333203581159985
2004,식도암,1660,2004,3972,41.79254783484391
2004,신장암,911,2004,4200,21.69047619047619
2004,위암,13239,2004,47296,27.991796346414073
2004,유방암,2454,2004,18484,13.276347111014934
2004,"입술, 구강 및 인두",1030,2004,4326,23.809523809523807
2004,자궁경부암,1245,2004,8286,15.025343953656769
2004,자궁암,219,2004,2248,9.741992882562279
2004,전립선암,1243,2004,6832,18.193793911007024
2004,췌장암,3492,2004,6818,51.217365796421234
2004,호지킨 림프종,43,2004,408,10.53921568627451
2004,후두암,532,2004,2168,24.538745387453876
2005,간암,11728,2005,30298,38.708825665060395
2005,갑상선암,531,2005,25646,2.070498323325275
2005,고환암,15,2005,308,4.870129870129871
2005,"기관지, 폐암",14450,2005,34528,41.85009267840593
2005,기타 암,730,2005,19502,3.743205825043585
2005,난소암,771,2005,3356,22.973778307508937
