ground,hour,cnt,지형종류
E,0.0,27,남해
E,1.0,41,남해
E,2.0,44,남해
E,3.0,44,남해
E,4.0,68,남해
E,5.0,63,남해
E,6.0,56,남해
E,7.0,42,남해
E,8.0,31,남해
E,9.0,24,남해
E,10.0,20,남해
E,11.0,19,남해
E,12.0,14,남해
E,13.0,19,남해
E,14.0,17,남해
E,15.0,16,남해
E,16.0,10,남해
E,17.0,9,남해
E,18.0,18,남해
E,19.0,19,남해
E,20.0,19,남해
E,21.0,35,남해
E,22.0,41,남해
E,23.0,37,남해
A,0.0,129,내륙
A,1.0,102,내륙
A,2.0,110,내륙
A,3.0,144,내륙
A,4.0,154,내륙
A,5.0,165,내륙
A,6.0,150,내륙
A,7.0,133,내륙
A,8.0,184,내륙
A,9.0,93,내륙
A,10.0,83,내륙
A,11.0,50,내륙
A,12.0,59,내륙
A,13.0,59,내륙
A,14.0,66,내륙
A,15.0,63,내륙
A,16.0,50,내륙
A,17.0,106,내륙
A,18.0,73,내륙
A,19.0,71,내륙
A,20.0,103,내륙
A,21.0,80,내륙
A,22.0,96,내륙
A,23.0,95,내륙
C,0.0,25,동해
C,1.0,25,동해
C,2.0,18,동해
C,3.0,27,동해
C,4.0,20,동해
C,5.0,32,동해
C,6.0,33,동해
C,7.0,15,동해
C,8.0,11,동해
C,9.0,10,동해
C,10.0,13,동해
C,11.0,6,동해
C,12.0,13,동해
C,13.0,19,동해
C,14.0,13,동해
C,15.0,22,동해
C,16.0,11,동해
C,17.0,12,동해
C,18.0,15,동해
C,19.0,15,동해
C,20.0,16,동해
C,21.0,9,동해
C,22.0,14,동해
C,23.0,20,동해
B,0.0,125,산간
B,1.0,166,산간
B,2.0,203,산간
B,3.0,221,산간
B,4.0,230,산간
B,5.0,250,산간
B,6.0,258,산간
B,7.0,186,산간
B,8.0,116,산간
B,9.0,55,산간
B,10.0,35,산간
B,11.0,32,산간
B,12.0,38,산간
B,13.0,51,산간
B,14.0,36,산간
B,15.0,69,산간
B,16.0,42,산간
B,17.0,50,산간
B,18.0,51,산간
B,19.0,55,산간
B,20.0,58,산간
B,21.0,68,산간
B,22.0,60,산간
B,23.0,87,산간
D,0.0,75,서해
D,1.0,74,서해
D,2.0,82,서해
D,3.0,93,서해
D,4.0,89,서해
D,5.0,87,서해
D,6.0,79,서해
D,7.0,81,서해
D,8.0,49,서해
D,9.0,40,서해
D,10.0,31,서해
D,11.0,24,서해
D,12.0,55,서해
D,13.0,46,서해
D,14.0,50,서해
D,15.0,49,서해
D,16.0,36,서해
D,17.0,36,서해
D,18.0,45,서해
D,19.0,52,서해
D,20.0,61,서해
D,21.0,65,서해
D,22.0,67,서해
D,23.0,68,서해
