ground,month,cnt,지형종류
E,1.0,37,남해
E,2.0,35,남해
E,3.0,63,남해
E,4.0,33,남해
E,5.0,66,남해
E,6.0,122,남해
E,7.0,170,남해
E,8.0,100,남해
E,9.0,38,남해
E,10.0,14,남해
E,11.0,25,남해
E,12.0,30,남해
A,1.0,264,내륙
A,2.0,216,내륙
A,3.0,141,내륙
A,4.0,47,내륙
A,5.0,120,내륙
A,6.0,156,내륙
A,7.0,314,내륙
A,8.0,370,내륙
A,9.0,146,내륙
A,10.0,136,내륙
A,11.0,236,내륙
A,12.0,272,내륙
C,1.0,26,동해
C,2.0,20,동해
C,3.0,30,동해
C,4.0,24,동해
C,5.0,34,동해
C,6.0,41,동해
C,7.0,94,동해
C,8.0,47,동해
C,9.0,57,동해
C,10.0,23,동해
C,11.0,5,동해
C,12.0,13,동해
B,1.0,216,산간
B,2.0,98,산간
B,3.0,128,산간
B,4.0,87,산간
B,5.0,129,산간
B,6.0,198,산간
B,7.0,390,산간
B,8.0,283,산간
B,9.0,357,산간
B,10.0,358,산간
B,11.0,202,산간
B,12.0,96,산간
D,1.0,112,서해
D,2.0,163,서해
D,3.0,121,서해
D,4.0,69,서해
D,5.0,110,서해
D,6.0,162,서해
D,7.0,172,서해
D,8.0,135,서해
D,9.0,79,서해
D,10.0,83,서해
D,11.0,123,서해
D,12.0,105,서해
