Entity,Code,Year,Liver cancer,counts/(1000명)
China,CHN,2019,187700,187.7
Japan,JPN,2019,34515,34.515
India,IND,2019,30709,30.709
Thailand,THA,2019,24527,24.527
United States,USA,2019,23807,23.807
South Korea,KOR,2019,14477,14.477
Egypt,EGY,2019,13590,13.59
France,FRA,2019,7792,7.792
Germany,DEU,2019,7743,7.743
Italy,ITA,2019,6919,6.919
China,CHN,2018,182139,182.139
Japan,JPN,2018,33708,33.708
India,IND,2018,29844,29.844
Thailand,THA,2018,23759,23.759
United States,USA,2018,22833,22.833
South Korea,KOR,2018,13910,13.91
Egypt,EGY,2018,13451,13.451
France,FRA,2018,7718,7.718
Germany,DEU,2018,7643,7.643
Italy,ITA,2018,6790,6.79
China,CHN,2017,178251,178.251
Japan,JPN,2017,32622,32.622
India,IND,2017,28930,28.93
Thailand,THA,2017,23015,23.015
United States,USA,2017,21981,21.981
South Korea,KOR,2017,13489,13.489
Egypt,EGY,2017,13337,13.337
France,FRA,2017,7732,7.732
Germany,DEU,2017,7565,7.565
Italy,ITA,2017,6647,6.647
China,CHN,2016,172587,172.587
Japan,JPN,2016,32467,32.467
India,IND,2016,28189,28.189
Thailand,THA,2016,22204,22.204
United States,USA,2016,21382,21.382
Egypt,EGY,2016,13304,13.304
South Korea,KOR,2016,12956,12.956
France,FRA,2016,7644,7.644
Germany,DEU,2016,7522,7.522
Italy,ITA,2016,6402,6.402
China,CHN,2015,164943,164.943
Japan,JPN,2015,32511,32.511
India,IND,2015,27431,27.431
Thailand,THA,2015,21338,21.338
United States,USA,2015,20428,20.428
Egypt,EGY,2015,13133,13.133
South Korea,KOR,2015,12734,12.734
France,FRA,2015,7713,7.713
Germany,DEU,2015,7395,7.395
Italy,ITA,2015,6787,6.787
China,CHN,2014,156909,156.909
Japan,JPN,2014,32818,32.818
India,IND,2014,26136,26.136
Thailand,THA,2014,20798,20.798
United States,USA,2014,19541,19.541
Egypt,EGY,2014,12784,12.784
South Korea,KOR,2014,12580,12.58
France,FRA,2014,7563,7.563
Germany,DEU,2014,7204,7.204
Italy,ITA,2014,6824,6.824
China,CHN,2013,148066,148.066
