Variable,SHAP
지면온도,0.104263926333881
AWS 안개 생성 지표,0.10538957105740514
풍향의 sig주기,0.127050697438561
달의 cos주기,0.13854195660333002
풍향의 cos주기,0.1477018587318128
10분 평균 풍속(m/s),0.16005980271857734
기온,0.16325693583244522
10분 평균 일조량,0.1772843184586675
강수량,0.18375567537092055
달의 sin주기,0.18820614388557916
이슬점 온도,0.18881207141554324
시간의 sin주기,0.21782609514048815
지면온도와 이슬점 차이,0.26006379330753054
습도(100%),0.29184712444323013
시간의 cos주기,0.29230598237514027
지형종류,0.3249392732975042
기온과 이슬점 차이,0.6442297290344725
