Variable,SHAP
풍향의 sig주기,0.001294900215772453
지형종류,0.0015262861872973007
풍향의 cos주기,0.0017530054887335905
10분 평균 풍속(m/s),0.0024102275403717574
시간의 cos주기,0.003033493751512668
시간의 sin주기,0.0034648332042673986
강수량,0.004211419115702354
지면온도와 이슬점 차이,0.005502952811461698
습도(100%),0.005534186973651816
10분 평균 일조량,0.0059445371563884115
기온과 이슬점 차이,0.009411847975515268
AWS 안개 생성 지표,0.011037301576736219
달의 sin주기,0.018654972562773896
달의 cos주기,0.02295336013816777
이슬점 온도,0.023770888557004613
지면온도,0.030419307752431353
기온,0.03292023964550171
